nickname,url
Polars,https://www.youtube.com/shorts/FpSbhXFqTU4
Infomercial,https://www.youtube.com/shorts/MNvHEBFQC7o
Community channel,https://www.youtube.com/shorts/QVncJQ4-H6s
LangGraph,https://www.youtube.com/shorts/w4zdA-Ilzo4
Conda champion,https://www.youtube.com/shorts/eCoTu6eigEg
Dataframe,https://www.youtube.com/shorts/qRD3JAJkbSA
Import order,https://www.youtube.com/shorts/WBYlt9YlU0I
Pixi env management,https://www.youtube.com/shorts/sItH-WKxdBo
Quick start envs,https://www.youtube.com/shorts/6kwOuu8g5Tk
Anaconda + Prefix,https://www.youtube.com/watch?v=xWfBvmPS3Gk
Live stream,https://www.youtube.com/watch?v=uAamIxbatcA
